,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
4-2-20-0.01-50,100,20,2,20,0.01,50,100,62,0.0,0,0.0,0.0,26.707726,26.708,259,134,125,0.0,2,0.0,0.0,26.707726,26.708,257,132,125,0.0,0,0.0,0.0,26.707726,26.708,300,130,124,46,0.0,0,0.0,0.0,26.707726,26.708,305,131,124,50
4-2-20-0.01-90,100,20,2,20,0.01,90,100,62,0.0,13,0.0,0.0,21.904803,21.905,234,127,107,0.0,8,0.0,0.0,21.904803,21.905,236,129,107,0.0,0,0.0,0.0,21.904803,21.905,273,128,107,38,0.0,2,0.0,0.0,21.904803,21.905,273,128,107,38
4-2-20-0.1-10,100,20,2,20,0.1,10,100,62,0.0,0,0.0,0.0,28.505736,28.506,262,132,130,0.0,0,0.0,0.0,28.505736,28.506,258,128,130,0.0,0,0.0,0.0,28.505736,28.506,305,130,125,50,0.0,0,0.0,0.0,28.505736,28.506,290,126,126,38
4-2-20-0.1-50,100,20,2,20,0.1,50,100,62,0.0,3,0.0,0.0,26.690067,26.690,256,131,125,0.0,0,0.0,0.0,26.690067,26.690,254,128,126,0.0,0,0.0,0.0,26.690067,26.690,298,131,123,44,0.0,0,0.0,0.0,26.690067,26.690,298,131,123,44
4-2-20-0.1-90,100,20,2,20,0.1,90,100,62,0.0,10,0.0,0.0,21.903894,21.904,243,131,112,0.0,8,0.0,0.0,21.903894,21.904,234,127,107,0.0,2,0.0,0.0,21.903894,21.904,272,127,107,38,0.0,2,0.0,0.0,21.903894,21.904,277,128,107,42
4-2-20-0.2-10,100,20,2,20,0.2,10,100,62,0.0,0,0.0,0.0,28.465974,28.466,261,132,129,0.0,0,0.0,0.0,28.465974,28.466,255,126,129,0.0,0,0.0,0.0,28.465974,28.466,305,131,126,48,0.0,0,0.0,0.0,28.465974,28.466,290,126,126,38
4-2-20-0.2-50,100,20,2,20,0.2,50,100,62,0.0,0,0.0,0.0,26.670447,26.670,256,132,124,0.0,0,0.0,0.0,26.670447,26.670,253,129,124,0.0,0,0.0,0.0,26.670447,26.670,303,132,123,48,0.0,0,0.0,0.0,26.670447,26.670,294,129,123,42
4-2-20-0.2-90,100,20,2,20,0.2,90,100,62,0.0,0,0.0,0.0,21.902884,21.903,234,127,107,0.0,0,0.0,0.0,21.902884,21.903,233,126,107,0.0,4,0.0,0.0,21.902884,21.903,259,126,107,26,0.0,3,0.0,0.0,21.902884,21.903,259,126,107,26
5-1-20-0.01-10,100,33,1,20,0.01,10,104,140,6.2,1115,0.0,1.8,49.971058,49.971,456,249,207,1.1,1138,0.0,1.7,49.971058,49.971,418,193,225,1.0,1011,0.0,0.6,49.971058,49.971,674,207,147,320,0.1,41,0.0,0.5,49.971058,49.971,550,184,154,212
5-1-20-0.01-50,100,33,1,20,0.01,50,104,140,0.6,940,0.0,0.8,48.768597,48.769,343,169,174,1.0,1456,0.0,0.6,48.768597,48.769,320,153,167,0.1,7,0.0,0.1,48.768597,48.769,396,155,135,106,0.1,13,0.0,0.1,48.768597,48.769,396,152,140,104
5-1-20-0.01-90,100,33,1,20,0.01,90,104,140,0.5,507,0.0,0.2,38.222377,38.222,283,162,121,0.5,502,0.0,0.1,38.222377,38.222,281,158,123,0.8,978,0.0,0.0,38.222377,38.222,388,140,110,138,1.2,984,0.0,0.0,38.222377,38.222,387,141,110,136
5-1-20-0.1-10,100,33,1,20,0.1,10,104,140,1.0,1246,0.0,1.2,49.753050,49.753,418,208,210,1.1,1511,0.0,1.3,49.753050,49.753,377,182,195,0.2,201,0.0,0.4,49.753050,49.753,549,170,139,240,0.1,40,0.0,0.4,49.753050,49.753,481,167,138,176
