,,,,,B&C-B,,,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#ProdSM,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
37-5-20-0.8,800,80,2762,71842,TL,9471,0.3,0.4,682.997418,684.844,0,1,16066,3784,12282,910.5,32299,0.0,0.1,683.417993,683.418,0,1,8858,2807,3175,2876
38-5-20-0.8,900,5,4520,224438,411.3,475,0.0,3.8,490.736301,490.736,0,1,26287,5864,20423,83.8,106,0.0,1.5,490.736301,490.736,0,1,12918,4687,3676,4555
39-5-20-0.8,900,10,4450,227826,TL,12775,0.9,2.1,592.560472,597.633,0,1,45270,7807,37463,116.2,187,0.0,0.7,592.560472,592.560,0,1,11663,4400,5055,2208
40-5-20-0.8,900,90,3552,140956,TL,11726,0.1,0.2,801.021020,801.742,0,1,14341,3897,10444,106.0,697,0.0,0.1,801.052497,801.052,0,1,5950,2777,1763,1410
1-10-25-0.2,100,5,138,60,0.0,0,0.0,0.0,17.533333,17.533,0,1,218,109,109,0.0,0,0.0,0.0,17.533333,17.533,0,1,238,109,117,12
2-10-25-0.2,100,10,152,78,0.0,3,0.0,0.0,31.795970,31.796,0,1,244,122,122,0.0,0,0.0,0.0,31.795970,31.796,0,1,276,122,126,28
3-10-25-0.2,100,10,136,110,0.0,0,0.0,0.0,32.000000,32.000,0,1,279,139,140,0.0,0,0.0,0.0,32.000000,32.000,0,1,306,125,123,58
4-10-25-0.2,100,20,126,66,0.0,0,0.0,0.0,43.555556,43.556,0,1,244,126,118,0.0,0,0.0,0.0,43.555556,43.556,0,1,287,127,124,36
5-10-25-0.2,100,33,174,116,0.2,5,0.0,0.0,70.431111,70.431,0,1,300,149,151,0.0,0,0.0,0.0,70.431111,70.431,0,1,414,166,154,94
6-10-25-0.2,200,5,408,628,0.1,0,0.0,0.0,41.221333,41.221,0,1,527,262,265,0.1,0,0.0,0.0,41.221333,41.221,0,1,603,242,265,96
7-10-25-0.2,200,10,414,906,8.3,19,0.0,0.3,67.985126,67.985,0,1,783,399,384,0.2,5,0.0,0.0,67.985126,67.985,0,1,1013,359,290,364
8-10-25-0.2,200,20,360,658,30.7,5,0.0,0.0,93.383467,93.383,0,1,1013,506,507,0.1,0,0.0,0.0,93.383467,93.383,0,1,820,310,276,234
9-10-25-0.2,200,40,418,686,4.5,383,0.0,0.4,140.754639,140.755,0,1,1055,510,545,0.5,102,0.0,0.1,140.754639,140.755,0,1,1304,402,298,604
10-10-25-0.2,200,67,526,1372,109.8,2752,0.0,1.0,184.061721,184.062,0,1,2187,913,1274,2.9,641,0.0,0.3,184.061721,184.062,0,1,2511,642,415,1454
