,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
34-5-20-0.5,700,140,2450,58282,TL,151120,0.3,0.5,664.028,665.897,5045,2812,2233,TL,172600,0.0,0.2,665.391,665.652,4078,2330,1748,TL,156885,0.1,0.2,664.911,665.755,7321,2738,1756,2827,3156.8,114583,0.0,0.1,665.471,665.471,5875,2414,1586,1875
35-5-20-0.5,800,5,3424,143422,15.7,68,0.0,1.3,432.061,432.061,6152,3191,2961,17.5,55,0.0,1.2,432.061,432.061,5823,2856,2967,27.2,63,0.0,1.1,432.061,432.061,6729,2796,2790,1143,24.8,45,0.0,1.2,432.061,432.061,6289,2706,2480,1103
36-5-20-0.5,800,10,3052,91980,3439.2,60444,0.0,2.2,453.183,453.183,13168,5388,7780,3122.8,56517,0.0,1.9,453.183,453.183,13604,5305,8299,TL,29068,0.4,1.9,453.183,455.036,19608,5354,8059,6195,1404.2,1959,0.0,1.8,453.183,453.183,12049,4197,3051,4801
37-5-20-0.5,800,80,2762,71842,TL,108381,0.2,0.4,703.800,705.154,7222,3618,3604,TL,85326,0.1,0.3,704.057,704.931,6982,3322,3660,TL,94799,0.2,0.3,703.718,705.149,9670,3434,3162,3074,TL,95872,0.1,0.2,704.117,704.980,8983,3202,3416,2365
38-5-20-0.5,900,5,4520,224438,79.4,379,0.0,2.0,526.270,526.270,8352,4464,3888,81.8,391,0.0,2.0,526.271,526.271,8599,4498,4101,148.8,234,0.0,1.9,526.271,526.271,11628,4504,3468,3656,117.5,247,0.0,2.0,526.270,526.270,10145,4142,3417,2586
39-5-20-0.5,900,10,4450,227826,82.2,627,0.0,0.7,637.701,637.701,7263,3526,3737,62.0,505,0.0,0.7,637.701,637.701,7098,3758,3340,152.1,317,0.0,0.7,637.701,637.701,8275,3632,3478,1165,127.8,282,0.0,0.7,637.701,637.701,8310,3497,3439,1374
40-5-20-0.5,900,90,3552,140956,TL,81374,0.1,0.2,825.278,826.261,7423,3979,3444,TL,78647,0.1,0.2,825.459,825.896,6317,3564,2753,TL,85770,0.1,0.3,824.934,825.973,9402,3991,2732,2679,TL,77237,0.1,0.2,825.435,826.005,7976,3407,2791,1778
1-5-20-0.8,100,5,114,64,0.0,0,0.0,0.0,14.600,14.600,229,111,118,0.2,0,0.0,0.0,14.600,14.600,230,111,119,0.3,0,0.0,0.0,14.600,14.600,234,111,115,8,0.1,0,0.0,0.0,14.600,14.600,234,111,115,8
2-5-20-0.8,100,10,124,76,0.1,0,0.0,0.0,26.648,26.648,244,118,126,0.1,0,0.0,0.0,26.648,26.648,250,122,128,0.0,0,0.0,0.0,26.648,26.648,245,116,121,8,0.0,0,0.0,0.0,26.648,26.648,245,116,121,8
3-5-20-0.8,100,10,116,100,0.1,0,0.0,0.0,25.613,25.613,265,129,136,0.5,0,0.0,0.0,25.613,25.613,269,132,137,0.1,0,0.0,0.0,25.613,25.613,279,129,128,22,0.3,0,0.0,0.0,25.613,25.613,281,130,128,23
4-5-20-0.8,100,20,106,56,0.0,1,0.0,0.0,35.408,35.408,268,130,138,0.1,0,0.0,0.0,35.408,35.408,279,136,143,0.1,0,0.0,0.0,35.408,35.408,283,130,137,16,0.0,0,0.0,0.0,35.408,35.408,284,135,143,6
5-5-20-0.8,100,33,130,114,0.0,0,0.0,0.0,62.004,62.004,356,182,174,0.0,0,0.0,0.0,62.004,62.004,292,151,141,0.1,0,0.0,0.0,62.004,62.004,373,179,165,29,0.0,0,0.0,0.0,62.004,62.004,304,148,131,25
6-5-20-0.8,200,5,296,430,0.1,0,0.0,0.0,30.133,30.133,476,230,246,0.1,0,0.0,0.0,30.133,30.133,476,230,246,0.0,0,0.0,0.0,30.133,30.133,487,230,246,11,0.1,0,0.0,0.0,30.133,30.133,487,230,246,11
